Order_ID,Customer_ID,Transaction_Date,Transaction_Amount,Product_Category,Country
ORD-00001,CUST-012493,2023-07-01,28.68439137665563,Home & Kitchen,France
ORD-00002,CUST-008069,2022-01-16,39.55114843929304,Sports,France
ORD-00004,CUST-004794,2023-02-06,36.32803040518113,Books,UK
ORD-00005,CUST-012363,2022-10-21,11.505908752740249,Beauty,UK
ORD-00006,CUST-002642,2022-06-20,370.34538125578,Books,Germany
ORD-00007,CUST-007564,2022-02-01,89.56388109641946,Books,France
ORD-00008,CUST-002749,2022-09-20,64.2809740236123,Fashion,UK
ORD-00009,CUST-003073,2022-08-03,110.5864434082378,Sports,UK
ORD-00010,CUST-011189,2023-07-12,44.41294611804986,Sports,UK
ORD-00011,CUST-009184,2022-07-08,155.02107301696094,Fashion,UK
ORD-00012,CUST-005864,2023-08-06,35.4543637156351,Books,UK
ORD-00013,CUST-009677,2023-08-23,33.184966341504705,Sports,UK
ORD-00014,CUST-011611,2022-09-18,70.97120096539226,Electronics,USA
ORD-00015,CUST-010168,2022-07-01,219.56077106696463,Beauty,Germany
ORD-00016,CUST-007790,2023-05-20,5533.672826056646,Home & Kitchen,France
ORD-00017,CUST-006973,2022-12-08,67.45205963461318,Home & Kitchen,UK
ORD-00018,CUST-003526,2022-01-22,61.55519366418898,Fashion,UK
ORD-00019,CUST-011507,2022-03-15,76.3441107142125,Books,USA
ORD-00020,CUST-004878,2023-08-25,108.06631819226186,Home & Kitchen,France
ORD-00021,CUST-002502,2022-06-15,157.35089749320403,Fashion,France
ORD-00022,CUST-010164,2022-08-22,24.93067814660496,Fashion,Germany
ORD-00023,CUST-000781,2023-01-10,161.0433442675898,Books,UK
ORD-00024,CUST-001136,2023-03-09,49.97856117041946,Books,UK
ORD-00025,CUST-005845,2023-10-03,72.32124615058261,Electronics,France
ORD-00026,CUST-005452,2022-11-30,173.87544087751985,Fashion,France
ORD-00027,CUST-001685,2023-08-30,81.16423545738442,Fashion,Germany
ORD-00028,CUST-011654,2023-06-24,99.40423076485,Electronics,Germany
ORD-00029,CUST-008972,2022-02-04,20.75314414090974,Sports,USA
ORD-00030,CUST-003028,2023-03-20,199.93130898915504,Beauty,UK
ORD-00031,CUST-001748,2022-08-19,76.31153094579913,Books,France
ORD-00032,CUST-001645,2022-11-14,38.52390129046571,Electronics,USA
ORD-00033,CUST-009812,2022-12-09,124.12501761413144,Beauty,UK
ORD-00034,CUST-011953,2023-03-06,739.0729254312381,Home & Kitchen,Germany
ORD-00035,CUST-008798,2023-09-29,8.14407442025691,Fashion,Germany
ORD-00036,CUST-003054,2023-04-11,12.623003859121024,Fashion,UK
ORD-00037,CUST-011919,2022-03-20,830.7811232762508,Books,Germany
ORD-00038,CUST-012089,2023-07-27,55.25914299422458,Sports,Germany
ORD-00039,CUST-006519,2023-03-25,41.63926591871748,Sports,UK
ORD-00040,CUST-009817,2023-12-30,28.833477060236937,Books,UK
ORD-00041,CUST-003800,2022-10-09,141.1923579130616,Books,UK
ORD-00042,CUST-005590,2023-11-06,760.1355484282061,Sports,Germany
ORD-00043,CUST-006880,2022-02-26,14.90614808678476,Books,UK
ORD-00044,CUST-003343,2022-07-10,29.48105717327807,Beauty,UK
ORD-00045,CUST-008279,2023-10-06,21.739425289510866,Sports,UK
ORD-00046,CUST-001253,2023-04-08,79.79317481653503,Beauty,Germany
ORD-00047,CUST-000343,2022-02-11,143.5770931133916,Electronics,USA
ORD-00048,CUST-005355,2023-05-01,231.6249207365988,Fashion,Germany
ORD-00049,CUST-007469,2022-06-22,83.10143243055735,Books,UK
ORD-00050,CUST-010432,2023-11-10,680.7528713676703,Home & Kitchen,UK
ORD-00051,CUST-006146,2022-09-07,16.614842463041498,Beauty,Germany
ORD-00053,CUST-005332,2023-05-17,193.10095826981373,Home & Kitchen,France
ORD-00054,CUST-009737,2022-07-12,38.374715166773385,Beauty,UK
ORD-00055,CUST-008801,2022-06-14,6.352647225273444,Books,UK
ORD-00056,CUST-004298,2022-03-31,22.662791395257965,Electronics,Germany
ORD-00057,CUST-009843,2023-11-22,45.00575564964038,Books,France
ORD-00058,CUST-002668,2022-02-27,15.248819870395584,Electronics,France
ORD-00059,CUST-006947,2022-09-20,9.800242943148929,Books,USA
ORD-00060,CUST-008633,2023-10-10,25.81214289808886,Beauty,USA
ORD-00061,CUST-002394,2022-08-31,9.23093086521916,Electronics,UK
ORD-00062,CUST-009325,2023-10-25,70.96290294604836,Books,UK
ORD-00063,CUST-010793,2022-08-07,7407.1745094155185,Beauty,UK
ORD-00064,CUST-008194,2022-01-09,36.91101121927957,Electronics,UK
ORD-00065,CUST-008938,2023-03-06,61.769632841579735,Books,UK
ORD-00066,CUST-003815,2022-01-13,29.70604356966196,Books,UK
ORD-00067,CUST-012507,2022-08-13,122.96103007155334,Beauty,USA
ORD-00068,CUST-009814,2023-11-21,6.39378560201596,Home & Kitchen,France
ORD-00069,CUST-000854,2022-03-08,14.277610319695867,Beauty,France
ORD-00070,CUST-004668,2023-10-31,22.28599433655025,Sports,USA
ORD-00071,CUST-006070,2023-11-08,77.88781197283949,Home & Kitchen,Germany
ORD-00072,CUST-000925,2023-05-18,43.04340836072198,Books,UK
ORD-00073,CUST-001368,2022-07-03,433.563895269402,Home & Kitchen,France
ORD-00074,CUST-006499,2022-07-27,12.59193996093662,Electronics,France
ORD-00075,CUST-000955,2023-06-12,6.209083631573981,Books,France
ORD-00076,CUST-007267,2022-10-27,283.41344829043396,Books,UK
ORD-00077,CUST-008138,2022-08-29,5.947492482877216,Fashion,France
ORD-00078,CUST-011412,2023-03-31,75.16421502586698,Home & Kitchen,Germany
ORD-00079,CUST-009566,2023-06-14,10.23277648782151,Home & Kitchen,UK
ORD-00080,CUST-003457,2023-10-21,2.7643844247167495,Home & Kitchen,UK
ORD-00081,CUST-002623,2022-09-01,21.12082345499018,Books,UK
ORD-00082,CUST-003894,2023-07-17,97.45589873142414,Books,UK
ORD-00083,CUST-001377,2022-08-26,7.643645842225133,Fashion,UK
